Company,Organization,Date,Headline,Article,Relevance
GOOG,Alphabet Inc,12-03-2015,Indian firms could get boost from Google  Alibaba ,MUMBAI Two Indian firms could get a boost from tech majors in what might turn out to be the first direct investment in the country by Google Inc and Alibaba.,topStory
GOOG,Alphabet Inc,12-03-2015,UPDATE 2-Indian firms could get boost from Google  Alibaba ,MUMBAI  March 11 Two Indian firms could get a boost from tech majors in what might turn out to be the first direct investment in the country by Google Inc and Alibaba.,normal
GOOGL,Alphabet Inc,12-03-2015,Indian firms could get boost from Google  Alibaba ,MUMBAI Two Indian firms could get a boost from tech majors in what might turn out to be the first direct investment in the country by Google Inc and Alibaba.,topStory
GOOGL,Alphabet Inc,12-03-2015,UPDATE 2-Indian firms could get boost from Google  Alibaba ,MUMBAI  March 11 Two Indian firms could get a boost from tech majors in what might turn out to be the first direct investment in the country by Google Inc and Alibaba.,normal
GOOG,Alphabet Inc,13-03-2015,Google to open first UK 'garage' to fix small firms' web problems ,"LEEDS  England Google on Friday launched its first ""digital garage""  a multi-million pound project it said would help 200 000 small British businesses harness the Internet to grow.",topStory
GOOG,Alphabet Inc,13-03-2015,"Google to open first UK ""garage"" to fix small firms' web problems ","LEEDS  England  March 13 Google on Friday launched its first ""digital garage""  a multi-million pound project it said would help 200 000 small British businesses harness the Internet to grow.",normal
GOOGL,Alphabet Inc,13-03-2015,Google to open first UK 'garage' to fix small firms' web problems ,"LEEDS  England Google on Friday launched its first ""digital garage""  a multi-million pound project it said would help 200 000 small British businesses harness the Internet to grow.",topStory
GOOGL,Alphabet Inc,13-03-2015,"Google to open first UK ""garage"" to fix small firms' web problems ","LEEDS  England  March 13 Google on Friday launched its first ""digital garage""  a multi-million pound project it said would help 200 000 small British businesses harness the Internet to grow.",normal
GOOG,Alphabet Inc,17-03-2015,Google X boss says company should have curbed Glass hype ,SAN FRANCISCO Google Inc   was wrong to let expectations about its Glass wearable gadget get overheated  the head of the Google X research lab said on Tuesday.,normal
GOOG,Alphabet Inc,17-03-2015,Google X boss says company should have curbed Glass hype ,SAN FRANCISCO  March 17 Google Inc   was wrong to let expectations about its Glass wearable gadget get overheated  the head of the Google X research lab said on Tuesday.,normal
GOOG,Alphabet Inc,17-03-2015,Google app store gets more oversight ,SAN FRANCISCO Google Inc  is tightening supervision of its freewheeling Play store  forming a special team to screen new apps for malware and sexually explicit material  and strengthening its age-based rating system.,normal
GOOG,Alphabet Inc,17-03-2015,Google app store gets more oversight ,SAN FRANCISCO  March 17 Google Inc   is tightening supervision of its freewheeling Play store  forming a special team to screen new apps for malware and sexually explicit material  and strengthening its age-based rating system.,normal
GOOGL,Alphabet Inc,17-03-2015,Google X boss says company should have curbed Glass hype ,SAN FRANCISCO Google Inc   was wrong to let expectations about its Glass wearable gadget get overheated  the head of the Google X research lab said on Tuesday.,normal
GOOGL,Alphabet Inc,17-03-2015,Google X boss says company should have curbed Glass hype ,SAN FRANCISCO  March 17 Google Inc   was wrong to let expectations about its Glass wearable gadget get overheated  the head of the Google X research lab said on Tuesday.,normal
GOOGL,Alphabet Inc,17-03-2015,Google app store gets more oversight ,SAN FRANCISCO Google Inc  is tightening supervision of its freewheeling Play store  forming a special team to screen new apps for malware and sexually explicit material  and strengthening its age-based rating system.,normal
